60, 1079, 601
61, 1079, 601
62, 1065, 610
63, 1046, 612
64, 1021, 611
65, 1003, 614
66, 992, 614
67, 986, 613
68, 984, 604
69, 983, 596
70, 979, 588
71, 972, 577
72, 968, 567
73, 962, 564
74, 959, 553
75, 955, 546
76, 946, 536
77, 938, 522
78, 933, 516
79, 938, 513
80, 953, 508
81, 957, 500
82, 970, 493
83, 987, 492
84, 1006, 499
85, 1022, 500
86, 1033, 499
87, 1041, 497
88, 1045, 499
89, 1050, 500
90, 1059, 497
91, 1072, 498
92, 1085, 504
93, 1096, 507
94, 1106, 504
95, 1107, 502
96, 1096, 492
97, 1079, 487
98, 1064, 490
99, 1046, 489
100, 1027, 489
101, 1009, 488
102, 989, 487
103, 971, 481
104, 954, 481
105, 933, 480
106, 917, 484
107, 899, 492
108, 873, 497
109, 853, 502
110, 826, 504
111, 802, 500
112, 778, 495
113, 755, 489
114, 736, 489
115, 720, 486
116, 710, 484
117, 701, 484
118, 701, 485
119, 701, 490
120, 703, 492
121, 710, 496
122, 719, 500
123, 728, 500
124, 737, 502
125, 749, 507
126, 764, 512
127, 778, 517
128, 792, 522
129, 808, 525
130, 826, 527
131, 840, 527
132, 849, 525
133, 862, 521
134, 875, 519
135, 885, 517
136, 899, 506
137, 909, 504
138, 921, 500
139, 934, 493
140, 943, 492
141, 949, 491
142, 950, 491
143, 947, 492
144, 946, 492
145, 943, 497
146, 935, 498
147, 931, 500
148, 929, 504
149, 925, 504
150, 919, 505
151, 913, 510
152, 908, 514
153, 903, 513
154, 898, 513
155, 894, 514
156, 888, 519
157, 880, 523
158, 872, 527
159, 863, 533
160, 854, 536
161, 847, 535
162, 840, 536
163, 837, 535
164, 834, 538
165, 831, 541
166, 827, 541
167, 822, 544
168, 814, 553
169, 807, 555
170, 806, 554
171, 811, 550
172, 818, 545
173, 824, 540
174, 831, 537
175, 831, 538
176, 837, 539
177, 844, 535
178, 850, 534
179, 851, 533
180, 858, 531
181, 864, 530
182, 855, 530
183, 846, 525
184, 834, 520
185, 822, 520
186, 816, 519
187, 812, 520
188, 802, 518
189, 796, 515
190, 794, 514
191, 793, 512
192, 787, 509
193, 781, 506
194, 780, 509
195, 776, 512
196, 774, 516
197, 770, 517
198, 767, 518
199, 767, 522
200, 765, 523
201, 770, 523
202, 771, 523
203, 770, 522
204, 771, 525
205, 763, 526
206, 752, 524
207, 742, 525
208, 733, 525
209, 723, 521
210, 711, 516
211, 705, 513
212, 701, 512
213, 696, 509
214, 694, 504
215, 695, 503
216, 697, 504
217, 696, 503
218, 693, 502
219, 688, 508
220, 690, 514
221, 692, 517
222, 691, 524
223, 694, 529
224, 696, 539
225, 705, 545
226, 717, 549
227, 731, 557
228, 736, 570
229, 734, 586
230, 740, 601
231, 751, 608
232, 749, 607
233, 737, 599
234, 714, 583
235, 696, 567
236, 681, 551
237, 660, 533
238, 651, 520
239, 649, 516
240, 644, 515
241, 644, 515
242, 640, 521
